Comparison	Genus	mean_g1	mean_g2	log2FoldChange	pvalue	p_adj
Group2_vs_Group1	Leucobacter	6.001882414952356e-4	7.365762851072691e-4	-0.09969110378864553	0.8290349506040638	1
Group2_vs_Group1	Unclassified	1.3284018905491146e-5	5.840912069695214e-5	0.39752757389004156	1	1
Group2_vs_Group1	Libanicoccus	3.24364053577949e-4	0.0010080391254698117	0.4514402152395241	1	1
Group2_vs_Group1	Atopobium	1.790635145359269e-5	1.4808506479126257e-5	0.07202168398659944	1	1
Group2_vs_Group1	Olsenella	0.0010688314381353096	0.0014509172582945894	-0.5085249619855448	1	1
Group2_vs_Group1	Unclassified	1.6390439103282883e-5	3.3193678494075326e-6	-0.34591664737872146	0.4318166489126489	1
Group2_vs_Group1	Gordonibacter	0	1.2578302893089578e-5	0	1	1
Group2_vs_Group1	Unclassified	0.002704776602054102	0.0021301191971136156	-0.7617050420755959	1	1
Group2_vs_Group1	Senegalimassilia	3.91134113353458e-4	0.00100693850484188	0.33037998900476145	1	1
Group2_vs_Group1	Enterorhabdus	0.0010802506403774041	0.001715920211896348	-0.20370705009409362	1	1
Group2_vs_Group1	Slackia	2.8589583976810313e-4	3.751464835640573e-4	0.17468438294171207	1	1
Group2_vs_Group1	Unclassified	1.0397586555914244e-5	7.918937217004801e-5	0.49369313099215156	1	1
Group2_vs_Group1	Elusimicrobium	0	9.7537859525571e-6	0	1	1
Group2_vs_Group1	Sphaerochaeta	0	7.798945070226176e-6	0	1	1
Group2_vs_Group1	Treponema	0.002188428475991558	0.0011983096339951487	-0.4527297098262096	1	1
Group2_vs_Group1	Chlamydia	1.1460424939689404e-4	1.4974232651951975e-4	0.4065003151031214	1	1
Group2_vs_Group1	Methanosphaera	0.0011096981449732143	9.72220411286152e-4	-0.15886061423303138	1	1
Group2_vs_Group1	Methanobrevibacter	0.002894444463345259	0.002075706144312135	-0.5400115357221974	1	1
Group2_vs_Group1	Chryseobacterium	0	3.420252018978199e-5	0	1	1
Group2_vs_Group1	Chishuiella	1.3899556824289926e-4	4.848912547213627e-5	-0.3148789665799905	1	1
Group2_vs_Group1	Empedobacter	9.640319246605876e-5	6.5615247629608534e-6	-0.561569542163022	1	1
Group2_vs_Group1	Myroides	2.8511094110081312e-5	0.0010773571356319088	0.8239948896055637	1	1
Group2_vs_Group1	Flavobacterium	4.0481481300695866e-4	0.0025636131953659263	-0.05560435140370083	1	1
Group2_vs_Group1	Anaerocella	0	1.908721473954183e-4	0	1	1
Group2_vs_Group1	Alistipes	1.7832886176803104e-6	6.305127966978803e-6	0.34885036237267286	1	1
Group2_vs_Group1	hoa5-07d05 gut group	0	1.455244048760304e-5	0	1	1
Group2_vs_Group1	CAG-873	0.0010874676041408822	1.2098788852158279e-4	-0.15282814098177605	1	1
Group2_vs_Group1	Unclassified	0.015346991031720521	0.00892675807010584	-0.4939550852129902	1	1
Group2_vs_Group1	Unclassified	2.2606087096926772e-4	4.272702460503232e-4	0.41555355228971164	0.3511162352310765	1
Group2_vs_Group1	Alkaliflexus	0	6.063667710520354e-4	0	1	1
Group2_vs_Group1	Unclassified	8.195891064340248e-6	1.1777557038016051e-5	0.39049664765591	0.34699769226359445	1
Group2_vs_Group1	Prevotellaceae UCG-001	1.8431712786201343e-5	5.799674583020211e-5	0.6728189343089407	1	1
Group2_vs_Group1	Prevotellaceae NK3B31 group	0.00204601518699182	0.012305451196467882	0.5967550047564468	1	1
Group2_vs_Group1	Unclassified	3.2707677059902733e-4	3.7618618191017104e-4	0.1819739454191681	1	1
Group2_vs_Group1	Prevotella_9	0.0040515254864001695	0.00360985553620943	0.04362179938446503	1	1
Group2_vs_Group1	Prevotella_7	8.866093498304069e-5	5.8921142773854073e-5	-0.25492168030101053	1	1
Group2_vs_Group1	Alloprevotella	2.6232859392382525e-4	4.552922788249846e-4	0.3176981659954715	0.5151504822804831	1
Group2_vs_Group1	Prevotellaceae UCG-003	1.588318388664164e-4	6.310758712917649e-4	0.7620990172946221	1	1
Group2_vs_Group1	Petrimonas	0	3.139936515761092e-5	0	1	1
Group2_vs_Group1	Fermentimonas	0	4.219711956465411e-4	0	1	1
Group2_vs_Group1	Unclassified	0	5.118539395184287e-5	0	1	1
Group2_vs_Group1	dgA-11 gut group	9.380607950110823e-5	2.12739984180415e-4	0.6088950191044724	1	1
Group2_vs_Group1	Rikenellaceae RC9 gut group	5.144912591943801e-4	9.729610602233414e-4	0.4207128196450376	1	1
Group2_vs_Group1	Succinivibrio	1.0124630027696479e-4	3.825606523343151e-5	-0.3259281793479311	1	1
Group2_vs_Group1	Pseudomonas	8.126794420016466e-5	4.018730069107372e-4	-0.08602541757330402	1	1
Group2_vs_Group1	Salinisphaera	0	1.1466989868952881e-5	0	1	1
Group2_vs_Group1	Unclassified	8.691329182354516e-7	2.04307269304565e-5	0.920472481079858	1	1
